KATEGORI,NAMA INSTANSI,PROVINSI,KABUPATEN,KECAMATAN,TOTAL BELANJA,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,VISIT/CANVAS,KETERANGAN,ALAMAT,HUT
SD NEGERI,SD NEGERI 2 SABDODADI,DI YOGYAKARTA,BANTUL,BANTUL,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 3 BANTUL,DI YOGYAKARTA,BANTUL,BANTUL,0,0,0,0,0,0,0,0,0,0,0,07/09/2023,,,
SD NEGERI,SD NEGERI BANTUL TIMUR,DI YOGYAKARTA,BANTUL,BANTUL,48.715.000,0,0,0,0,10.165.000,1.980.000,0,0,11.870.000,24.700.000,27/01/2022,,,
SD NEGERI,SD NEGERI MANDING TENGAH,DI YOGYAKARTA,BANTUL,BANTUL,1.915.000,0,0,1.915.000,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI PALBAPANG BARU,DI YOGYAKARTA,BANTUL,BANTUL,0,0,0,0,0,0,0,0,0,0,0,27/01/2022,,,
SD NEGERI,SD NEGERI PENI,DI YOGYAKARTA,BANTUL,BANTUL,0,0,0,0,0,0,0,0,0,0,0,27/01/2022,,,
SD NEGERI,SD NEGERI PRIYAN,DI YOGYAKARTA,BANTUL,BANTUL,6.500.000,0,0,6.500.000,0,0,0,0,0,0,0,27/01/2022,,,
SD NEGERI,SD NEGERI RINGINHARJO,DI YOGYAKARTA,BANTUL,BANTUL,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI SUTRAN,DI YOGYAKARTA,BANTUL,BANTUL,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI TEGALDOWO,DI YOGYAKARTA,BANTUL,BANTUL,95.735.000,0,0,0,0,0,0,0,28.565.000,26.645.000,40.525.000,22/03/2024,,,
SD NEGERI,SD SABDODADI KEYONGAN,DI YOGYAKARTA,BANTUL,BANTUL,1.035.000,1.035.000,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD TERUMAN,DI YOGYAKARTA,BANTUL,BANTUL,0,0,0,0,0,0,0,0,0,0,0,,,,
