nama_distributor,tipe_pajak
PT ELMI CAHYA CENDIKIA,PPN
PT EMEDIA DEVICES,PPN
PT EPSON INDONESIA,PPN
PT ERADATA SEJAHTERA,PPN
PT EVOLUSI VISI GEMILANG,NON PPN
PT FESTINO,PPN
PT FOXHOUND TEKNOLOGI NUSANTARA,PPN
PT GALVA TECHNOLOGIES TBK,PPN
PT GEIC JAYA LESTARI,PPN
PT GLOBAL DANAPATI NIAGA,PPN
PT GOLDWIN TRITAMA INTERNASIONAL,PPN
PT GREAT PRIMA LESTARI,PPN
PT HARRISMA BUWANA JAYA,PPN
PT HETERO NIAGA GLOBAL,PPN
PT HOME CENTER INDONESIA RETAIL,NON PPN
PT ILUFA ABADI INDONESIA,PPN
PT IMAGO INOVASI INDONESIA,PPN
PT INDO PRIMA AKSES,PPN
PT INFOKOM PUTRA KENCANA,PPN
PT INOVASI TEKNOLOGI CEMERLANG,NON PPN
PT INTECH SURYA ABADI,NON PPN
PT IS PRATAMA ABADI,PPN
PT JAYA BERSAMA COMPUTER,NON PPN
PT JAYA PRATAMA COMPUTINDO,NON PPN
PT JAYACOM ALPHA ELECTRONIC,PPN
PT JOGJA DUTA CAHAYA LESTARI,PPN
PT KHARISMA INSIDE MANDIRI SEJAHTERA,PPN
PT KUSUMOMEGAH JAYASAKTI,NON PPN
PT LG ELECTRONICS INDONESIA,PPN
PT MAXIMA SURYA ABADI,PPN
PT MCTEK INNOVATION,PPN
PT MEGATRADING DISTRIBUSI INDOTAMA,PPN
PT MEGATRONIK NETWORK SYSTEM,NON PPN
PT MENYANAN JAYA LESTARI,PPN
PT MULTI SARANA COMPUTER,PPN
PT MUTU ANUGERAH PERSADA,NON PPN
PT NUSANTARA JAYA TEKNOLOGI,PPN
PT OMEGAINDO SEJAHTERA ABADI,PPN
PT PANCA PUTRA SOLUSINDO,PPN
PT POWER DEVELOP INDONESIA,NON PPN
PT PRIMA ABADI BERSAHABAT,PPN
PT RADIAN JAYA PRATAMA,PPN
PT RAKA PERKASA TEKNOLOGI,PPN
PT RAYA PERSADA SOLUSINDO,NON PPN
PT RETAIL SOLUTION,NON PPN
PT SADAR JAYA MANDIRI,PPN
PT SAMAFITRO,PPN
PT SAMOTO MEGA TEKNOLOGI,PPN
PT SANTOSO ADHI SEJAHTERA,PPN
